실적일자,분당,수원,청주,양산
2019-09-01,269,520.4,240,186.4
2019-09-02,285,595.4,180,82.4
2019-09-03,171,283,97,186.4
2019-09-04,128,204.8,138,148
2019-09-05,98,172.2,122,307.2
2019-09-06,182,321.2,135,181.6
2019-09-07,85,149.2,89,187.6
2019-09-08,174,299.6,155,243.6
2019-09-09,136,235.6,91,395.2
2019-09-10,143,249.4,255,330
2019-09-11,138,203.4,88,210.8
2019-09-12,99,130.8,88,99.6
2019-09-13,370,754.4,360,472.8
2019-09-14,110,189,153,526
2019-09-15,306,634,330,401.2
2019-09-16,360,702.2,324,443.2
2019-09-17,333,755,359,494
2019-09-18,375,781,358,441.2
2019-09-19,341,700.2,317,540.4
2019-09-20,182,303,146,374
2019-09-21,69,96.8,30,47.6
2019-09-22,63,94.8,23,33.6
2019-09-23,316,559,186,180
2019-09-24,354,722.8,298,454.4
2019-09-25,287,614.4,240,471.2
2019-09-26,272,544.4,188,464.4
2019-09-27,214,435.2,278,213.2
2019-09-28,253,494.2,269,182.4
2019-09-29,341,683.4,311,358.4
2019-09-30,334,668.2,308,255.2
2019-10-01,218,412.6,120,51.6
2019-10-02,56,71.4,16,20.4
2019-10-03,225,297,171,317.2
2019-10-04,280,625,200,439.2
2019-10-05,185,319.6,71,283.6
2019-10-06,285,607.2,292,438.4
2019-10-07,57,57.6,45,121.6
2019-10-08,300,607.2,263,414.4
2019-10-09,335,707.2,312,497.2
2019-10-10,165,301.2,123,461.6
2019-10-11,327,639.6,273,464
2019-10-12,331,667,311,448.8
2019-10-13,331,662.2,305,478.8
2019-10-14,276,472,211,459.2
2019-10-15,339,593,275,176.8
2019-10-16,295,593.6,271,389.6
2019-10-17,246,436.8,184,214
2019-10-18,248,456.8,140,22.4
2019-10-19,293,590,277,429.2
2019-10-20,217,411,231,395.6
2019-10-21,303,604.6,279,436.4
2019-10-22,284,557.2,265,368
2019-10-23,135,243.2,94,115.6
2019-10-24,258,469,229,110
2019-10-25,242,484.2,216,310.4
2019-10-26,249,585.6,248,443.2
2019-10-27,288,607,282,402.4
2019-10-28,245,512.4,255,426.8
2019-10-29,205,508,194,368.4
2019-10-30,309,618.4,274,459.2
2019-10-31,240,462.4,247,441
2019-11-01,277,521,188,399
2019-11-02,171,314.4,143,314
2019-11-03,233,474.2,196,252
2019-11-04,289,584.4,237,248
2019-11-05,214,427.2,208,425
2019-11-06,244,497.6,182,413
2019-11-07,282,472.4,228,335
2019-11-08,287,590,254,405
2019-11-09,337,574.4,239,406
2019-11-10,77,208.8,115,201
2019-11-11,195,375.2,74,279
2019-11-12,170,353.6,193,367
2019-11-13,47,42.4,44,136
2019-11-14,302,626,263,370
2019-11-15,65,141.2,165,413
2019-11-16,188,326.6,189,365
2019-11-17,30,18.4,12,75
2019-11-18,221,402,99,217
2019-11-19,280,471.8,146,387
2019-11-20,280,577.8,221,437
2019-11-21,172,341.4,191,380
2019-11-22,258,518.8,222,391
2019-11-23,188,367.2,165,375
2019-11-24,120,208,182,71
2019-11-25,162,314.2,90,289
2019-11-26,207,466.4,193,391
2019-11-27,224,474,138,108
2019-11-28,209,492.4,198,151
2019-11-29,254,529.6,220,412
2019-11-30,174,390.6,178,181
2019-12-01,44,65.6,35,48.4
2019-12-02,254,508.4,214,391.2
2019-12-03,88,155,94,395.2
2019-12-04,231,489,213,348.4
2019-12-05,263,539,209,385.6
2019-12-06,258,536.6,207,221.6
2019-12-07,107,148.2,103,396.8
2019-12-08,230,486.2,197,382.8
2019-12-09,113,200.6,134,372.4
2019-12-10,101,231.4,114,283.2
2019-12-11,95,229.8,47,298.8
2019-12-12,249,514.6,203,405.2
2019-12-13,168,361.4,163,248.4
2019-12-14,228,485.8,195,334.8
2019-12-15,204,431.8,183,323.2
2019-12-16,185,408.4,175,284.8
2019-12-17,32,30,10,140.8
2019-12-18,188,418,89,302.8
2019-12-19,240,492.2,186,313.2
2019-12-20,237,500.6,163,343.2
2019-12-21,103,183.4,115,112
2019-12-22,146,299.8,133,78.8
2019-12-23,68,203.2,115,306
2019-12-24,217,456.8,133,262.8
2019-12-25,131,275.2,113,333.2
2019-12-26,61,77.4,23,50.4
2019-12-27,236,495.8,180,371.2
2019-12-28,194,440.6,191,352
2019-12-29,77,117.2,42,71.6
2019-12-30,41,54.2,32,249.6
2019-12-31,263,552.8,207,419.6
2020-01-01,77,107,89,395
2020-01-02,64,70.4,30,343
2020-01-03,220,448.2,152,362
2020-01-04,210,386.4,135,290
2020-01-05,202,444.8,175,227
2020-01-06,49,62.8,24,168
2020-01-07,20,13.8,3,6
2020-01-08,47,59.4,20,123
2020-01-09,208,415.8,153,348
2020-01-10,220,450.2,192,372
2020-01-11,222,457.2,181,381
2020-01-12,226,487.6,156,394
2020-01-13,259,516.4,176,326
2020-01-14,215,422.8,172,160
2020-01-15,259,569.2,208,304
2020-01-16,233,475.2,207,396
2020-01-17,216,436.6,175,286
2020-01-18,241,512.6,230,165
2020-01-19,111,219,131,242
2020-01-20,223,471.4,185,246
2020-01-21,256,489.4,220,522
2020-01-22,83,167.8,35,30
2020-01-23,238,490.4,222,59
2020-01-24,230,460.2,223,366
2020-01-25,164,351.6,124,256
2020-01-26,247,498.2,192,44
2020-01-27,57,74.4,27,4
2020-01-28,108,273.4,127,250
2020-01-29,185,487,144,241
2020-01-30,193,425.8,210,201
2020-01-31,142,308,141,465
2020-02-01,131,264.2,106,406.4
2020-02-02,190,378.6,185,405.2
2020-02-03,278,581.8,274,398
2020-02-04,243,563.4,261,295.2
2020-02-05,312,699.4,310,655.6
2020-02-06,300,652.8,231,433.6
2020-02-07,239,473.6,210,380.4
2020-02-08,299,643,257,421.6
2020-02-09,309,660.2,294,396.8
2020-02-10,297,624.2,261,415.2
2020-02-11,301,622.4,265,326.4
2020-02-12,52,64.6,23,22
2020-02-13,118,83.4,119,194.8
2020-02-14,256,538,184,667.6
2020-02-15,184,411.2,179,347.6
2020-02-16,8,99.4,87,374.4
2020-02-17,20,298,127,434.8
2020-02-18,203,741.2,276,461.2
2020-02-19,258,364.4,255,468
2020-02-20,276,569.2,269,452.8
2020-02-21,147,287.8,193,429.6
2020-02-22,272,495,246,438.8
2020-02-23,357,742.4,332,526.4
2020-02-24,287,602.8,288,326.4
2020-02-25,55,78.2,8,147.6
2020-02-26,181,664,252,147.6
2020-02-27,290,643,255,258.4
2020-02-28,65,68.8,45,75.2
2020-02-29,138,440,258,193.4
2020-03-01,56,508,186,424.4
2020-03-02,158,665,338,476
2020-03-03,93,578,271,353.2
2020-03-04,122,573,236,453.2
2020-03-05,167,686,360,337.2
2020-03-06,151,669,346,696.8
2020-03-07,91,561,89,181.6
2020-03-08,156,665,327,512
2020-03-09,91,570,206,145.2
2020-03-10,15,450,25,41.2
2020-03-11,0,705,387,615.6
2020-03-12,143,659,348,551.2
2020-03-13,157,644,242,442
2020-03-14,169,692,357,590.4
2020-03-15,148,665,262,464.4
2020-03-16,178,701,373,588.4
2020-03-17,58,497,88,539.6
2020-03-18,170,684,334,560.8
2020-03-19,99,629,232,479.6
2020-03-20,169,685,359,521.2
2020-03-21,121,593,293,522
2020-03-22,179,701,365,428
2020-03-23,164,679,359,547.2
2020-03-24,160,672,349,373.2
2020-03-25,149,665,345,544
2020-03-26,78,546,141,76.8
2020-03-27,94,584,89,77.6
2020-03-28,155,644,258,217.6
2020-03-29,177,703,369,386.4
2020-03-30,175,700,362,526
2020-03-31,154,678,352,537.2
2020-04-01,216,652,289,253.2
2020-04-02,394,765,326,540
2020-04-03,425,793.6,387,553.6
2020-04-04,436,828.2,364,586.4
2020-04-05,8,877.2,408,610.4
2020-04-06,430,856.2,385,587.6
2020-04-07,162,689,324,550.4
2020-04-08,460,900.8,419,599.2
2020-04-09,441,821,374,567.2
2020-04-10,266,710.8,282,196
2020-04-11,317,679.4,238,272.4
2020-04-12,316,607.8,228,226.4
2020-04-13,392,875,411,266.8
2020-04-14,433,848.2,396,616.8
2020-04-15,360,691,293,424.4
2020-04-16,8136,754.4,363,523.6
2020-04-17,129,191.8,191,56
2020-04-18,439,820,281,488.4
2020-04-19,123,191.2,74,122
2020-04-20,155,269.4,170,504.4
2020-04-21,417,804.4,408,608
2020-04-22,340,650.2,291,621.6
2020-04-23,461,837.4,344,619.6
2020-04-24,462,869.4,416,628.8
2020-04-25,335,653.2,360,585.6
2020-04-26,452,889,407,610.8
2020-04-27,0,782,319,576.4
2020-04-28,443,829.8,396,592
2020-04-29,419,791,382,567.6
2020-04-30,422,738,382,605.4
2020-05-01,684,560,339,512.8
2020-05-02,408,354.6,275,384
2020-05-03,627,584.4,150,84.4
2020-05-04,819,747.6,292,528.8
2020-05-05,303,218,123,284.8
2020-05-06,904,833.8,367,594
2020-05-07,810,773.4,389,612.4
2020-05-08,733,723.8,330,565.2
2020-05-09,144,89,55,60.4
2020-05-10,317,199.8,95,403.2
2020-05-11,768,735.4,363,606.4
2020-05-12,605,506.8,309,591.6
2020-05-13,966,876,406,621.2
2020-05-14,730,675.8,326,490.8
2020-05-15,164,90.6,50,62.4
2020-05-16,350,164.4,160,407.2
2020-05-17,672,466.6,337,446.8
2020-05-18,601,498.2,271,124
2020-05-19,412,361.2,174,375.2
2020-05-20,786,566.4,406,547.2
2020-05-21,788,696.6,343,257.6
2020-05-22,0,479.2,325,423.2
2020-05-23,0,686,383,589.6
2020-05-24,0,303.6,233,452.8
2020-05-25,525,381.2,166,385.6
2020-05-26,699,640.2,326,280.4
2020-05-27,950,867.2,377,549.2
2020-05-28,684,720.8,325,564
2020-05-29,928,806.8,379,555.6
2020-05-30,897,790,372,400.4
2020-05-31,665,636.6,276,306.8
2020-06-01,581,808.2,381,484.8
2020-06-02,201,296.2,173,577.2
2020-06-03,439,649.4,304,315.2
2020-06-04,431,607.2,352,526
2020-06-05,430,540.8,295,451.2
2020-06-06,476,676.2,352,369.6
2020-06-07,451,543.6,283,558.8
2020-06-08,493,728.2,348,551.6
2020-06-09,501,755.2,351,562
2020-06-10,407,616.8,294,546
2020-06-11,478,686.6,311,260.8
2020-06-12,237,310.4,121,347.6
2020-06-13,513,732.8,313,198.8
2020-06-14,404,567,235,109.6
2020-06-15,491,700.8,349,540
2020-06-16,484,660.6,335,564.8
2020-06-17,441,639.8,255,371.6
2020-06-18,271,354.6,144,58.4
2020-06-19,421,556.2,343,487.6
2020-06-20,466,727,318,415.6
2020-06-21,462,727.4,328,589.2
2020-06-22,476,757.4,361,578.4
2020-06-23,346,544.8,257,565.6
2020-06-24,102,81.6,69,174.4
2020-06-25,184,191.6,66,150.8
2020-06-26,315,422.4,299,508.8
2020-06-27,430,599.8,232,423.6
2020-06-28,441,642.2,323,487.2
2020-06-29,225,287,141,199.6
2020-06-30,201,249.2,73,113.2
2020-07-01,14,267,173,330
2020-07-02,40,596,319,437.6
2020-07-03,42,694,149,152.8
2020-07-04,1,650,272,272.8
2020-07-05,10840,539,261,435.6
2020-07-06,35,542,280,140
2020-07-07,22,377,199,475.2
2020-07-08,38,666,315,227.2
2020-07-09,45,698,358,437.2
2020-07-10,27,431,172,104.4
2020-07-11,39,614,230,304.4
2020-07-12,15,165,90,122
2020-07-13,11,112,45,55.6
2020-07-14,22,357,130,205.6
2020-07-15,41,638,207,174
2020-07-16,1,647,268,528
2020-07-17,34,593,306,586
2020-07-18,37,556,305,340
2020-07-19,15,230,214,91.2
2020-07-20,13,156,111,110.4
2020-07-21,33,593,349,470.8
2020-07-22,10,132,73,154.4
2020-07-23,8,74,44,119.6
2020-07-24,18,267,148,167.6
2020-07-25,33,530,142,164
2020-07-26,29,398,162,544
2020-07-27,17,235,142,86
2020-07-28,15,227,128,49.6
2020-07-29,16,158,62,161.2
2020-07-30,27,377,92,201.2
2020-07-31,30,414,221,370.6
2020-08-01,262,269,152,87.6
2020-08-02,168,99,164,376
2020-08-03,144,75,50,410.4
2020-08-04,297,276,222,442
2020-08-05,225,235,123,316.4
2020-08-06,315,238,32,98.4
2020-08-07,260,198,53,99.2
2020-08-08,186,116,58,46.8
2020-08-09,148,73,99,374
2020-08-10,347,251,120,213.6
2020-08-11,233,233,76,300.8
2020-08-12,43,286,135,168
2020-08-13,324,304,259,429.2
2020-08-14,207,181,231,532.4
2020-08-15,148,112,236,492.4
2020-08-16,541,480,267,571.2
2020-08-17,535,572,320,528.8
2020-08-18,570,578,337,532
2020-08-19,670,692,324,532
2020-08-20,582,589,336,523.2
2020-08-21,420,472,326,460.8
2020-08-22,281,209,148,347.6
2020-08-23,658,625,299,382.4
2020-08-24,641,666,330,497.6
2020-08-25,568,684,330,467.6
2020-08-26,562,603,228,294.8
2020-08-27,514,230,196,83.2
2020-08-28,278,358,257,256
2020-08-29,297,275,164,395.2
2020-08-30,443,323,230,447.2
2020-08-31,382,403,315,176.2
2020-09-01,475,329,347,235.2
2020-09-02,138,101,54,172
2020-09-03,483,493,282,256
2020-09-04,736,726,311,540
2020-09-05,457,436,110,58
2020-09-06,264,233,140,78.8
2020-09-07,136,115,41,71.2
2020-09-08,685,680,317,428.4
2020-09-09,366,301,246,29.2
2020-09-10,577,472,241,61.2
2020-09-11,388,383,130,169.6
2020-09-12,272,247,93,332.4
2020-09-13,639,665,338,234
2020-09-14,506,599,291,446.4
2020-09-15,585,546,294,408
2020-09-16,264,220,91,89.2
2020-09-17,315,250,91,99.6
2020-09-18,712,732,284,203.6
2020-09-19,635,564,258,495.6
2020-09-20,738,765,340,549.2
2020-09-21,645,660,300,450
2020-09-22,691,735,253,260
2020-09-23,530,514,208,200.8
2020-09-24,589,684,303,317.2
2020-09-25,618,578,258,297.2
2020-09-26,553,640,305,302.4
2020-09-27,667,689,308,435.2
2020-09-28,600,648,319,498
2020-09-29,520,514,253,486.8
2020-09-30,465,490,286,450.8
2020-10-01,453,399.8,237,457.2
2020-10-02,392,425,245,472.8
2020-10-03,404,381.2,101,320.4
2020-10-04,491,443.8,119,256
2020-10-05,700,729.6,295,532.8
2020-10-06,715,720,327,502.8
2020-10-07,583,605,288,466
2020-10-08,706,710.6,324,311.2
2020-10-09,702,686.4,319,375.2
2020-10-10,581,626.8,297,144
2020-10-11,412,431,161,215.2
2020-10-12,455,467.2,178,394.8
2020-10-13,477,489,205,448.8
2020-10-14,0,452.6,158,289.6
2020-10-15,573,538.8,243,444.4
2020-10-16,250,210.4,115,125.6
2020-10-17,650,649,270,440.8
2020-10-18,646,616.6,292,450.8
2020-10-19,579,591.8,267,392.4
2020-10-20,601,599.6,263,419.6
2020-10-21,198,158.4,65,152.4
2020-10-22,410,342.2,88,97.2
2020-10-23,634,670,286,471.2
2020-10-24,660,680.4,299,467.2
2020-10-25,521,563.4,238,466.4
2020-10-26,517,518.6,235,427.6
2020-10-27,471,480.2,227,389.2
2020-10-28,573,567.8,208,232.4
2020-10-29,529,587.8,241,406
2020-10-30,571,573,246,420
2020-10-31,459,444,214,410
2020-11-01,79,33.8,27,88.8
2020-11-02,562,605,231,182.8
2020-11-03,574,603.4,208,454
2020-11-04,591,646.2,276,458.8
2020-11-05,492,548.4,222,404.8
2020-11-06,216,156.2,46,125.2
2020-11-07,445,447.6,174,255.6
2020-11-08,550,605.8,259,405.6
2020-11-09,420,504.6,244,446.8
2020-11-10,515,570.2,242,416.4
2020-11-11,484,536,230,391.2
2020-11-12,462,515.2,224,396.4
2020-11-13,282,284.2,176,368.4
2020-11-14,449,478.4,200,231.2
2020-11-15,376,390.8,198,372
2020-11-16,385,412.8,175,364.8
2020-11-17,210,211.8,84,199.6
2020-11-18,122,95.2,55,227.6
2020-11-19,44,8.6,8,36
2020-11-20,111,73.4,14,384.4
2020-11-21,449,496.6,226,150
2020-11-22,157,105.4,41,55.6
2020-11-23,488,539.8,203,415.6
2020-11-24,358,372.2,139,287.2
2020-11-25,401,478.6,215,398.4
2020-11-26,433,416.2,186,165.6
2020-11-27,368,325.6,63,278.4
2020-11-28,494,537,220,350.8
2020-11-29,239,190.8,76,402.8
2020-11-30,470,506.2,200,391.2
2020-12-01,444,496.4,197,362
2020-12-02,252,281.6,185,282
2020-12-03,714,497.2,204,345.6
2020-12-04,456,494.4,202,390
2020-12-05,296,271.6,52,370
2020-12-06,321,259.6,147,382
2020-12-07,292,298.6,49,188.8
2020-12-08,448,498.2,202,363.2
2020-12-09,356,400.4,161,373.6
2020-12-10,168,186.2,92,96
2020-12-11,242,279.8,129,293.3
